Date,Precip_in,Tmax_degC,Tmin_degC,Flow_in
2000-05-06,0,26.1,15.6,0.056576402
2000-05-07,0,28.3,10,0.051828732
2000-05-08,0,30.6,15,0.046685423
2000-05-09,0.161417323,30,13.3,0.052620011
2000-05-10,0.059055118,31.1,8.3,0.248857042
2000-05-11,2.338582677,8.9,5.6,0.44707227
2000-05-12,0,17.8,6.7,0.183180939
2000-05-13,0.220472441,18.3,6.7,0.138078073
2000-05-14,0.200787402,14.4,8.9,0.178433269
2000-05-15,0,18.3,1.7,0.113548444
2000-05-16,0,14.4,-1.7,0.09139265
2000-05-17,0,17.8,1.7,0.078336557
2000-05-18,0,21.1,6.7,0.082292949
2000-05-19,0.728346457,21.1,6.1,0.21166696
2000-05-20,0.421259843,6.7,2.8,0.203358537
2000-05-21,0.031496063,10.6,5,0.140451908
2000-05-22,0.078740157,10,7.2,0.122252506
2000-05-23,0.031496063,13.9,9.4,0.102866186
2000-05-24,0.75984252,18.3,9.4,0.220766661
2000-05-25,0.350393701,21.7,7.8,0.279321259
2000-05-26,0.161417323,18.9,7.2,0.16814665
2000-05-27,0,17.2,7.2,0.114735361
2000-05-28,0,19.4,4.4,0.092579567
2000-05-29,0.011811024,15,7.2,0.080710392
2000-05-30,0,17.8,1.7,0.070028134
2000-05-31,0,19.4,1.7,0.060532794
2000-06-01,0,22.8,4.4,0.052224371
2000-06-02,0,28.3,11.7,0.063302268
2000-06-03,1.460629921,29.4,11.1,0.138869351
2000-06-04,0,22.2,3.9,0.073588887
2000-06-05,0.330708661,21.7,7.2,0.063697908
2000-06-06,0.039370079,14.4,7.8,0.350140672
2000-06-07,3.460629921,9.4,5.6,1.119658871
2000-06-08,0,18.9,3.3,0.337480218
2000-06-09,0,22.8,6.7,0.190302444
2000-06-10,0.011811024,25.6,14.4,0.130165289
2000-06-11,0,30.6,14.4,0.098909794
2000-06-12,2.318897638,29.4,8.9,0.407508352
2000-06-13,0.011811024,11.7,8.9,0.217601547
2000-06-14,0.811023622,15.6,7.2,0.366757517
2000-06-15,0,12.2,8.3,0.218788465
2000-06-16,0.011811024,20.6,9.4,0.155486197
2000-06-17,0,28.9,17.2,0.123439423
2000-06-18,0.12992126,29.4,10.6,0.129374011
2000-06-19,0.429133858,18.9,12.8,0.14401266
2000-06-20,0,22.2,8.3,0.100492351
2000-06-21,0,25,8.9,0.076754
2000-06-22,0.25984252,25.6,12.2,0.080710392
2000-06-23,0.059055118,27.2,15,0.085853701
2000-06-24,0,24.4,8.3,0.064489186
2000-06-25,0,26.1,11.1,0.051828732
2000-06-26,0.358267717,29.4,16.1,0.059741516
2000-06-27,0.011811024,28.3,18.3,0.057367681
2000-06-28,0.11023622,26.7,12.2,0.050641815
2000-06-29,0,25.6,13.3,0.045894145
2000-06-30,0.200787402,23.9,11.7,0.096535959
2000-07-01,0,22.2,8.9,0.056576402
2000-07-02,0,26.7,10,0.042333392
2000-07-03,0,28.3,12.2,0.037190083
2000-07-04,0.161417323,26.7,14.4,0.042333392
2000-07-05,0.019685039,27.2,12.2,0.039959557
2000-07-06,0,24.4,6.1,0.031651134
2000-07-07,0,21.7,8.9,0.026903464
2000-07-08,0,21.7,8.3,0.023342711
2000-07-09,0,23.3,10.6,0.023342711
2000-07-10,0.098425197,23.3,13.9,0.022155794
2000-07-11,0,26.7,8.9,0.019781959
2000-07-12,0,25,8.9,0.017408124
2000-07-13,0,26.7,10.6,0.016221206
2000-07-14,0,27.2,11.7,0.01463865
2000-07-15,0.5,25.6,14.4,0.022551433
2000-07-16,2.618110236,19.4,15.6,0.49059258
2000-07-17,0.118110236,25,14.4,0.152321083
2000-07-18,0,26.1,15,0.075567083
2000-07-19,0.078740157,27.8,11.7,0.050641815
2000-07-20,0,19.4,8.9,0.040355196
2000-07-21,0,23.3,7.2,0.033233691
2000-07-22,0.059055118,25,9.4,0.028486021
2000-07-23,0,23.3,10,0.024925268
2000-07-24,0,23.9,10,0.022551433
2000-07-25,0,24.4,11.7,0.020968876
2000-07-26,0.011811024,23.3,13.9,0.020177598
2000-07-27,1.61023622,17.2,13.9,0.193467558
2000-07-28,0.271653543,17.2,13.9,0.11077897
2000-07-29,0,23.9,11.7,0.063697908
2000-07-30,0.059055118,21.7,14.4,0.052620011
2000-07-31,0.700787402,20,16.1,0.087831897
2000-08-01,0.279527559,18.9,14.4,0.098909794
2000-08-02,0.228346457,19.4,14.4,0.08150167
2000-08-03,0.031496063,28.3,17.8,0.079127835
2000-08-04,0.850393701,28.3,15,0.167751011
2000-08-05,0,25,10,0.072401969
2000-08-06,0,25,10,0.050641815
2000-08-07,0.330708661,23.3,11.1,0.066071743
2000-08-08,0.019685039,28.9,16.1,0.054202567
2000-08-09,0.031496063,27.8,15.6,0.044311588
2000-08-10,0.291338583,28.9,16.7,0.039563918
2000-08-11,0,26.1,12.2,0.037190083
