Date,Precip_in,Tmin_C,Tmax_C,PET_in,Flow_in,Flow_cfs
2000-01-01,0.0,-7.8,8.9,0.03409992300662419,0.022585070431960383,15.0
2000-01-03,0.09842519685039369,5.6,17.2,0.045621374699926574,0.022585070431960383,15.0
2000-01-04,0.921259842519685,2.8,16.7,0.04734869204190977,0.03613611269113661,24.0
2000-01-05,0.22834645669291337,-6.7,8.3,0.03338150237668431,0.11141968079767123,74.0
2000-01-06,0.0,-10.0,2.2,0.022623173876707862,0.06775521129588115,45.0
2000-01-07,0.0,-3.9,7.2,0.0303732877960246,0.045170140863920766,30.0
2000-01-08,0.0,-3.3,3.9,0.022905768093711133,0.028607755880483154,19.0
2000-01-09,0.0,-1.1,9.4,0.03376392283920011,0.02710208451835246,18.0
2000-01-10,0.9488188976377954,1.7,11.1,0.03546156356184658,0.058721183123097,39.0
2000-01-11,0.0,3.9,13.9,0.040641767721458194,0.09335162445210292,62.0
2000-01-12,0.0,-3.3,6.1,0.028545240467203907,0.06323819720948907,42.0
2000-01-13,0.2992125984251969,-11.7,-2.2,0.016341364219706188,0.049687154950312847,33.0
2000-01-14,0.0,-15.6,-8.3,0.007785019644536097,0.042158798139659386,28.0
2000-01-15,0.0,-17.2,-7.2,0.00879406925332818,0.03613611269113661,24.0
2000-01-16,0.07086614173228346,-17.2,3.9,0.02565000620439303,0.03613611269113661,24.0
2000-01-17,0.0,-19.4,-10.0,0.004801454916836636,0.03312476996687523,22.0
2000-01-18,0.0,-17.8,-6.1,0.01019939506458682,0.030113427242613844,20.0
2000-01-19,0.0,-17.2,-5.6,0.011212737485949798,0.028607755880483154,19.0
2000-01-20,0.09842519685039369,-17.2,-6.1,0.01063925397254643,0.028607755880483154,19.0
2000-01-21,0.031496062992125984,-16.7,-7.8,0.008680112771567544,0.02710208451835246,18.0
2000-01-22,0.0,-17.8,-9.4,0.0064443058590111495,0.024090741794091076,16.0
2000-01-23,0.0,-18.9,-6.1,0.010139137315743117,0.024090741794091076,16.0
2000-01-24,0.0,-9.4,1.7,0.02510544856578844,0.022585070431960383,15.0
2000-01-25,0.7007874015748031,-9.4,-1.1,0.019733426172790416,0.02559641315622177,17.0
2000-01-26,0.011811023622047244,-7.2,-0.6,0.019695424013903083,0.02559641315622177,17.0
2000-01-27,0.0,-15.6,-5.0,0.013611912492223079,0.024090741794091076,16.0
2000-01-28,0.0,-17.8,-6.7,0.010419563157118427,0.022585070431960383,15.0
2000-01-29,0.0,-15.6,1.1,0.024561546753612218,0.021079399069829693,14.0
2000-01-30,0.0,-15.0,8.9,0.04153766579596072,0.021079399069829693,14.0
2000-01-31,0.38976377952755903,-2.2,3.3,0.025068423362177093,0.034630441329005925,23.0
2000-02-01,0.0,-5.0,3.9,0.03031802508472037,0.03312476996687523,22.0
2000-02-02,0.0,-9.4,-3.3,0.01685153561128065,0.02710208451835246,18.0
2000-02-03,0.0,-15.6,0.6,0.024989500780734378,0.024090741794091076,16.0
2000-02-04,0.01968503937007874,-8.3,0.0,0.02398094496161589,0.024090741794091076,16.0
2000-02-05,0.0,-7.2,3.3,0.03168726636876966,0.024090741794091076,16.0
2000-02-06,0.011811023622047244,-7.2,1.1,0.026527071663861767,0.022585070431960383,15.0
2000-02-07,0.0,-8.3,6.1,0.04002958981237775,0.022585070431960383,15.0
2000-02-08,0.0,-14.4,-1.7,0.02220954237273749,0.021079399069829693,14.0
2000-02-09,0.0,-7.8,8.3,0.04684835352603943,0.022585070431960383,15.0
2000-02-10,0.0,-3.3,6.7,0.04036714916948709,0.024090741794091076,16.0
2000-02-11,0.09842519685039369,-3.3,3.9,0.03217679279383801,0.028607755880483154,19.0
2000-02-12,0.0,-10.6,0.0,0.027288367371421294,0.02710208451835246,18.0
2000-02-13,0.0,-12.8,3.9,0.037023724655102404,0.024090741794091076,16.0
2000-02-14,1.279527559055118,-0.6,6.7,0.03869373032693962,0.14755579348880785,98.0
2000-02-15,0.0,-4.4,3.9,0.03515001796734245,0.11443102352193261,76.0
2000-02-16,0.01968503937007874,-5.6,8.3,0.05023691288336981,0.07227222538227322,48.0
2000-02-17,0.011811023622047244,-10.6,2.2,0.03465186105450501,0.05721551176096631,38.0
2000-02-18,0.7795275590551181,-10.6,0.0,0.029334422512577653,0.049687154950312847,33.0
2000-02-19,0.24015748031496062,-5.6,1.1,0.02936350616706115,0.05119282631244354,34.0
2000-02-20,0.03937007874015748,-2.8,2.8,0.0311007524060732,0.04667581222605146,31.0
2000-02-21,0.0,-7.8,5.6,0.04568056688027112,0.042158798139659386,28.0
2000-02-22,0.0,-9.4,8.3,0.054882117136564754,0.04667581222605146,31.0
2000-02-23,0.0,-1.7,11.7,0.0638733264302881,0.06022685448522769,40.0
2000-02-24,0.20078740157480315,1.7,15.6,0.07637041281895415,0.07377789674440392,49.0
2000-02-25,0.7992125984251968,1.1,7.8,0.04513359115089773,0.117442366246194,78.0
2000-02-26,0.11023622047244096,1.1,4.4,0.02960195694653506,0.16411817847224547,109.0
2000-02-27,0.0,2.8,16.7,0.08240938961715023,0.14906146485093855,99.0
2000-02-28,0.24015748031496062,2.2,13.3,0.06909892900485723,0.14755579348880785,98.0
2000-02-29,0.0,1.1,9.4,0.054534784609031384,0.13249907986750092,88.0
2000-03-01,0.0,1.7,9.4,0.05382851985329337,0.10840833807340984,72.0
2000-03-02,0.01968503937007874,2.2,10.0,0.05609346513090954,0.09335162445210292,62.0
2000-03-03,0.0,0.0,8.3,0.053752212359617725,0.07528356810653461,50.0
