Date,Precip_in,Tmin_C,Tmax_C,PET_in,Flow_in,Flow_cfs
4/5/2000,0,2.8,11.1,0.083597394,0.072272225,48
4/6/2000,0.078740157,1.1,14.4,0.110101112,0.064743869,43
4/7/2000,0,4.4,17.8,0.125970778,0.063238197,42
4/8/2000,0.039370079,8.9,25.6,0.171853558,0.051192826,34
4/9/2000,0.838582677,0.6,16.1,0.124448783,0.085823268,57
4/10/2000,0,0.6,12.2,0.100365974,0.070766554,47
4/11/2000,0.098425197,-2.2,10.6,0.096539957,0.054204169,36
4/12/2000,0.031496063,-0.6,9.4,0.086719756,0.051192826,34
4/13/2000,0,-2.2,11.7,0.104581076,0.046675812,31
4/14/2000,0,-1.1,16.1,0.13142154,0.03312477,22
4/15/2000,0,5.6,23.9,0.175585919,0.040653127,27
4/16/2000,0.019685039,9.4,21.7,0.148471029,0.040653127,27
4/17/2000,0,3.9,8.9,0.069138963,0.039147455,26
4/18/2000,0.37007874,4.4,7.8,0.056668039,0.039147455,26
4/19/2000,0.480314961,4.4,6.1,0.038888741,0.087328939,58
4/20/2000,0.011811024,5,16.7,0.127591943,0.105396995,70
4/21/2000,2.090551181,5,8.3,0.058179295,0.134004751,89
4/22/2000,1.641732283,5,7.2,0.046710952,0.501388564,333
4/23/2000,0.381889764,5,8.3,0.058867056,0.435139024,289
4/24/2000,0,4.4,11.7,0.093097033,0.278549202,185
4/25/2000,0,0.6,12.2,0.110480646,0.179174892,119
4/26/2000,0.799212598,0.6,4.4,0.053334533,0.185197578,123
4/27/2000,0.031496063,2.2,10,0.090447329,0.186703249,124
4/28/2000,0,2.8,11.7,0.101796884,0.149061465,99
4/29/2000,0,0,16.7,0.146316887,0.123465052,82
4/30/2000,0.011811024,2.8,16.7,0.141344241,0.105396995,70
5/1/2000,0,0,20.6,0.176370403,0.08883461,59
5/2/2000,0.228346457,3.9,18.3,0.152389084,0.072272225,48
5/3/2000,0,0.6,18.9,0.164536971,0.072272225,48
5/4/2000,0,5.6,24.4,0.19946355,0.070766554,47
5/5/2000,0.051181102,12.2,30,0.231216015,0.069260883,46
5/6/2000,0.019685039,11.1,21.1,0.151690683,0.06624954,44
5/7/2000,0,10,33.9,0.276153032,0.061732526,41
5/8/2000,0.200787402,15.6,31.7,0.237333812,0.058721183,39
5/9/2000,0,8.3,32.2,0.266525216,0.054204169,36
5/10/2000,0.980314961,6.7,9.4,0.061100402,0.067755211,45
5/11/2000,0.078740157,6.1,18.9,0.156538387,0.12195938,81
5/12/2000,0,5,22.2,0.188752893,0.09937431,66
5/13/2000,0.358267717,9.4,15,0.103275348,0.072272225,48
5/14/2000,0.059055118,8.3,25,0.205525593,0.078294911,52
5/15/2000,0,6.1,17.8,0.14907027,0.070766554,47
5/16/2000,0,2.8,20.6,0.182932858,0.05570984,37
5/17/2000,0,8.3,22.8,0.187259653,0.05570984,37
5/18/2000,0.208661417,12.2,22.8,0.170001607,0.049687155,33
5/19/2000,0.440944882,5.6,16.1,0.137740686,0.063238197,42
5/20/2000,0,3.9,16.1,0.144491414,0.069260883,46
5/21/2000,0.051181102,8.9,12.2,0.076852628,0.057215512,38
5/22/2000,0.011811024,8.9,16.1,0.121659531,0.051192826,34
5/23/2000,0.169291339,7.8,17.2,0.13937658,0.052698498,35
5/24/2000,0.641732283,10.6,15.6,0.103927463,0.091845953,61
5/25/2000,0.011811024,10,22.2,0.178536848,0.082811925,55
5/26/2000,0,11.7,22.8,0.176488803,0.061732526,41
5/27/2000,0,10.6,23.9,0.193623944,0.049687155,33
5/28/2000,0,8.3,18.3,0.149293717,0.042158798,28
5/29/2000,0,6.1,15,0.128654105,0.039147455,26
5/30/2000,0,3.9,18.9,0.172368216,0.037641784,25
5/31/2000,0,5,23.9,0.21409242,0.019573728,13
6/1/2000,0,14.4,31.7,0.259912241,0.030113427,20
6/2/2000,0.409448819,14.4,30.6,0.248544559,0.039147455,26
6/3/2000,0,10,23.9,0.198835201,0.051192826,34
6/4/2000,0.011811024,7.2,22.8,0.199120496,0.034630441,23
6/5/2000,0,11.7,18.9,0.136704355,0.028607756,19
6/6/2000,2.850393701,7.8,13.9,0.109055,0.153578479,102
6/7/2000,0.358267717,7.2,20.6,0.179058682,0.441161709,293
6/8/2000,0,6.7,24.4,0.216747323,0.207782648,138
6/9/2000,0,17.8,26.7,0.184763553,0.109914009,73
6/10/2000,0,12.2,33.3,0.288309152,0.082811925,55
6/11/2000,0.118110236,10.6,18.3,0.1386338,0.06624954,44
6/12/2000,0.141732283,10,11.7,0.057912332,0.072272225,48
6/13/2000,0.078740157,9.4,17.8,0.141182045,0.061732526,41
6/14/2000,0.051181102,10.6,17.8,0.133283066,0.057215512,38
6/15/2000,0,13.3,20,0.138482331,0.051192826,34
6/16/2000,0,15.6,32.2,0.263953423,0.048181484,32
6/17/2000,0.039370079,19.4,32.2,0.242414536,0.04366447,29
6/18/2000,0.118110236,13.9,23.9,0.180394708,0.040653127,27
6/19/2000,0.019685039,14.4,21.1,0.143049346,0.052698498,35
6/20/2000,0,12.2,27.8,0.232099785,0.024090742,16
6/21/2000,0,15,29.4,0.235957776,0.028607756,19
6/22/2000,0.141732283,18.9,30,0.218783386,0.028607756,19
6/23/2000,0,16.7,26.7,0.19409618,0.028607756,19
6/24/2000,0,13.9,27.8,0.223836663,0.027102085,18
6/25/2000,0,16.7,31.1,0.245700891,0.024090742,16
6/26/2000,0.031496063,21.7,27.8,0.163090883,0.024090742,16
6/27/2000,0.299212598,18.3,30.6,0.229816333,0.037641784,25
6/28/2000,0.011811024,16.7,28.9,0.219788325,0.034630441,23
6/29/2000,0.098425197,17.8,23.9,0.147832777,0.030113427,20
6/30/2000,0.019685039,15.6,26.1,0.193784339,0.025596413,17
7/1/2000,0,13.3,28.3,0.231092684,0.021079399,14
7/2/2000,0,14.4,31.7,0.262366018,0.019573728,13
7/3/2000,0,18.3,30,0.221318132,0.018068056,12
7/4/2000,0,21.7,28.3,0.169382221,0.016562385,11
7/5/2000,0,15,28.9,0.227990578,0.015056714,10
7/6/2000,0,11.1,26.1,0.216570788,0.014002744,9.3
7/7/2000,0,13.3,23.9,0.181780718,0.027102085,18
7/8/2000,0,11.1,26.1,0.215894309,0.016562385,11
7/9/2000,0.688976378,14.4,26.7,0.205623498,0.018068056,12
7/10/2000,0.011811024,18.9,28.3,0.193704443,0.04366447,29
7/11/2000,0,13.9,28.3,0.22484664,0.02258507,15
7/12/2000,0,12.2,30,0.249491085,0.016562385,11
7/13/2000,0,12.8,30,0.246629549,0.014002744,9.3
7/14/2000,0,18.3,30.6,0.224301852,0.013701609,9.1
7/15/2000,0.401574803,19.4,25,0.142963648,0.031619099,21
7/16/2000,1.019685039,16.7,22.2,0.131630453,0.111419681,74
7/17/2000,0,14.4,21.7,0.145591308,0.042158798,28
7/18/2000,0.059055118,17.2,27.2,0.189644287,0.027102085,18
7/19/2000,0,13.9,21.1,0.14163621,0.019573728,13
7/20/2000,0,11.7,23.9,0.185427999,0.016562385,11
7/21/2000,0.511811024,10,28.3,0.235047565,0.015056714,10
7/22/2000,0.12992126,15.6,26.7,0.192403616,0.037641784,25
7/23/2000,0,12.2,26.1,0.203635074,0.02258507,15
7/24/2000,0,12.8,26.7,0.206296714,0.016562385,11
7/25/2000,0,17.2,23.3,0.138037265,0.028607756,19
7/26/2000,0.228346457,15.6,18.9,0.093213954,0.027102085,18
7/27/2000,1.480314961,15.6,18.3,0.083308432,0.126476394,84
7/28/2000,0.011811024,16.1,21.7,0.126265772,0.076789239,51
7/29/2000,0.019685039,15,25.6,0.179693969,0.04366447,29
7/30/2000,0.078740157,17.8,23.3,0.129804234,0.031619099,21
7/31/2000,0.751968504,16.7,18.9,0.075918276,0.075283568,50
8/1/2000,0.149606299,17.2,19.4,0.076683595,0.060226854,40
8/2/2000,0.011811024,17.2,25,0.154965702,0.042158798,28
8/3/2000,0.11023622,21.1,30.6,0.191115148,0.034630441,23
8/4/2000,0,16.7,26.7,0.176689972,0.031619099,21
8/5/2000,0,14.4,27.8,0.200556937,0.025596413,17
8/6/2000,0.031496063,13.9,26.1,0.185132717,0.021079399,14
8/7/2000,0.011811024,20,30,0.188923357,0.02258507,15
8/8/2000,0,20,30.6,0.19496512,0.018068056,12
8/9/2000,0,19.4,30.6,0.198069906,0.016562385,11
8/10/2000,0.078740157,18.3,30,0.197461999,0.016562385,11
8/11/2000,0,16.1,27.8,0.186180971,0.013400475,8.9
8/12/2000,0,15,22.2,0.133067772,0.012195938,8.1
8/13/2000,0.181102362,14.4,20.6,0.119132162,0.011593669,7.7
8/14/2000,0.311023622,16.1,17.8,0.061086313,0.030113427,20
8/15/2000,0.019685039,17.2,21.7,0.105963444,0.019573728,13
8/16/2000,0.720472441,16.1,25.6,0.158871575,0.058721183,39
8/17/2000,0,12.2,23.3,0.157072303,0.040653127,27
8/18/2000,0.090551181,9.4,21.7,0.154227761,0.025596413,17
8/19/2000,0.031496063,15.6,24.4,0.146999122,0.024090742,16
8/20/2000,0,10.6,21.1,0.142095511,0.018068056,12
8/21/2000,0,8.9,23.3,0.166629539,0.014303878,9.5
8/22/2000,0,10.6,25.6,0.178991626,0.012647639,8.4
8/23/2000,0.188976378,13.3,23.3,0.146040194,0.013099341,8.7
8/24/2000,0,15.6,26.1,0.159196203,0.016562385,11
8/25/2000,0,13.3,27.2,0.179153211,0.011593669,7.7
8/26/2000,0,13.9,28.9,0.190466524,0.010087998,6.7
8/27/2000,0,15.6,28.9,0.182007807,0.009034028,6
8/28/2000,0,14.4,25.6,0.156562356,0.008582327,5.7
8/29/2000,0,11.7,24.4,0.157019083,0.008281192,5.5
8/30/2000,0,11.1,27.8,0.185767912,0.00948573,6.3
8/31/2000,0,19.4,30.6,0.173545567,0.008732894,5.8
9/1/2000,0,21.7,30.6,0.157702611,0.007980058,5.3
9/2/2000,0.779527559,15.6,25,0.139459396,0.036136113,24
9/3/2000,0,15.6,22.2,0.111717279,0.028607756,19
9/4/2000,0.011811024,12.8,22.8,0.132374788,0.015056714,10
9/5/2000,0,6.7,18.9,0.124703626,0.011292535,7.5
9/6/2000,0,5,20,0.135843216,0.009184595,6.1
9/7/2000,0,7.2,23.9,0.156503928,0.008732894,5.8
9/8/2000,0,11.7,26.7,0.163226077,0.008281192,5.5
9/9/2000,0,15,27.2,0.153494331,0.007829491,5.2
9/10/2000,0,11.7,24.4,0.143127859,0.007528357,5
9/11/2000,0,11.7,25.6,0.150958728,0.006926088,4.6
9/12/2000,0,14.4,27.8,0.15682864,0.006775521,4.5
9/13/2000,0.24015748,12.8,25,0.139955361,0.013400475,8.9
9/14/2000,0,10,25,0.147956609,0.008732894,5.8
9/15/2000,1.519685039,11.7,19.4,0.099260445,0.106902667,71
9/16/2000,0,8.9,19.4,0.110045497,0.060226854,40
9/17/2000,0,7.8,20.6,0.120582562,0.019573728,13
9/18/2000,0,10.6,25.6,0.145092096,0.013249908,8.8
9/19/2000,0.75984252,14.4,25,0.126215795,0.011292535,7.5
9/20/2000,0.031496063,17.8,26.1,0.117269099,0.054204169,36
9/21/2000,0,13.9,23.9,0.117707428,0.021079399,14
9/22/2000,0,9.4,20,0.106281443,0.012948774,8.6
9/23/2000,0,8.3,20,0.108698044,0.010991401,7.3
9/24/2000,0.019685039,11.1,22.8,0.117056741,0.0105397,7
9/25/2000,0,6.7,17.2,0.093988693,0.009636297,6.4
9/26/2000,0.5,9.4,11.7,0.041496497,0.019573728,13
9/27/2000,0,5,18.9,0.105960773,0.025596413,17
9/28/2000,0,2.2,14.4,0.08619538,0.012798207,8.5
9/29/2000,0,-0.6,12.8,0.081862305,0.011292535,7.5
9/30/2000,0,2.2,19.4,0.109822698,0.014303878,9.5
10/1/2000,0,7.2,22.2,0.115312917,0.012798207,8.5
10/2/2000,0,8.3,20,0.099051194,0.011292535,7.5
10/3/2000,0,8.9,25,0.125017673,0.010087998,6.7
10/4/2000,0.039370079,10,21.1,0.098544078,0.008732894,5.8
10/5/2000,0.440944882,7.8,14.4,0.06512915,0.02258507,15
10/6/2000,0.460629921,10.6,13.9,0.047359098,0.054204169,36
10/7/2000,0,6.1,16.1,0.078408177,0.025596413,17
10/8/2000,0,2.8,12.8,0.068680177,0.016562385,11
10/9/2000,0,2.8,6.1,0.033905803,0.013400475,8.9
10/10/2000,0,1.7,10,0.056509558,0.005420417,3.6
10/11/2000,0,3.9,17.8,0.087582813,0.002258507,1.5
10/12/2000,0,2.2,20.6,0.101527977,0.007980058,5.3
10/13/2000,0,4.4,24.4,0.115383966,0.008883461,5.9
10/14/2000,0,8.9,26.7,0.118957097,0.006624954,4.4
10/15/2000,0,12.8,23.3,0.090938286,0.005872118,3.9
10/16/2000,0.460629921,4.4,12.8,0.059199456,0.014454445,9.6
10/17/2000,0,3.9,10.6,0.049580499,0.018068056,12
10/18/2000,1.019685039,8.3,13.3,0.048327101,0.018068056,12
10/19/2000,0.078740157,4.4,16.1,0.071651247,0.093351624,62
10/20/2000,0,2.2,18.9,0.08549759,0.036136113,24
10/21/2000,0,6.7,24.4,0.102319438,0.021079399,14
10/22/2000,0,0,14.4,0.068362938,0.015056714,10
10/23/2000,0,-1.7,15,0.071146465,0.015056714,10
10/24/2000,0,2.8,20.6,0.087571004,0.012798207,8.5
10/25/2000,0,5,20.6,0.084027585,0.010840834,7.2
10/26/2000,0,6.1,25,0.099603593,0.010840834,7.2
10/27/2000,0,9.4,18.9,0.066848844,0.010840834,7.2
10/28/2000,0,0.6,12.2,0.055287135,0.010690267,7.1
10/29/2000,0,0,3.9,0.025852699,0.009335162,6.2
10/30/2000,0.429133858,0.6,6.7,0.034700565,0.011141968,7.4
10/31/2000,0.700787402,5,6.7,0.019959597,0.061732526,41
11/1/2000,0,3.9,13.3,0.051776512,0.034630441,23
11/2/2000,0,4.4,17.8,0.066881186,0.021079399,14
11/3/2000,0,3.3,16.7,0.063586193,0.016562385,11
11/4/2000,0,2.8,16.7,0.063435571,0.015056714,10
11/5/2000,0.87007874,5,9.4,0.032013857,0.036136113,24
11/6/2000,0,2.8,11.1,0.043031512,0.039147455,26
11/7/2000,0,1.1,15.6,0.059410753,0.02258507,15
11/8/2000,0,4.4,13.3,0.046900594,0.018068056,12
11/9/2000,0,3.3,11.7,0.042772667,0.016562385,11
11/10/2000,1.830708661,8.3,10,0.020270119,0.114431024,76
11/11/2000,0.220472441,7.8,11.1,0.028243201,0.158095493,105
11/12/2000,0,5,13.9,0.045880008,0.085823268,57
11/13/2000,0.019685039,5,8.9,0.027289709,0.064743869,43
11/14/2000,0.881889764,7.2,10.6,0.027197763,0.06624954,44
11/15/2000,0.031496063,2.2,9.4,0.034619215,0.117442366,78
11/16/2000,0,2.2,9.4,0.03426439,0.073777897,49
11/17/2000,0,2.2,13.9,0.047360595,0.05570984,37
11/18/2000,0,-2.2,8.9,0.037368997,0.040653127,27
11/19/2000,0,-3.9,7.8,0.035477779,0.03312477,22
11/20/2000,0,-5,7.8,0.035730919,0.030113427,20
11/21/2000,0,-2.2,6.7,0.030823192,0.030113427,20
11/22/2000,0,-2.8,3.3,0.022763192,0.028607756,19
11/23/2000,0,-6.7,1.7,0.022440956,0.024090742,16
11/24/2000,0,-10,-0.6,0.019226654,0.021079399,14
11/25/2000,0,-11.1,1.7,0.023314689,0.019573728,13
11/26/2000,1.220472441,-5,8.3,0.034996949,0.058721183,39
11/27/2000,0.011811024,2.8,10,0.03178406,0.111419681,74
11/28/2000,0,1.7,10.6,0.034704557,0.072272225,48
11/29/2000,0.031496063,0,10.6,0.036260014,0.042158798,28
11/30/2000,0.188976378,1.1,3.9,0.016260637,0.04366447,29
12/1/2000,0,-3.3,4.4,0.024208572,0.039147455,26
